precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
HENRYLIGHTHOUSE,531,0,145,0,0,0,0,6,34,2,207,0,0,1,0,0,15,0,6,0,109,0,255,1342,51,951,635,676,2344
HENRYLOCUST GROVE,604,1,129,5,0,0,0,4,54,2,234,0,0,0,0,0,24,0,3,0,158,0,270,1852,97,1371,749,739,3320
HENRYLOWES,742,2,224,1,0,0,0,7,60,4,334,0,0,1,2,1,41,0,3,0,245,1,406,2768,127,2055,1105,969,4950
HENRYMCDONOUGH,179,0,53,1,0,0,0,3,18,0,85,0,0,1,0,2,6,0,1,0,70,0,132,660,25,449,318,233,1134
HENRYMCDONOUGH CENTRAL,360,0,109,0,0,0,0,19,32,0,162,0,0,1,0,0,49,0,1,0,222,0,337,1229,70,1148,823,469,2447
HENRYMCMULLEN,130,1,65,1,0,0,0,6,52,0,306,0,0,1,0,2,17,0,0,0,211,0,403,495,69,1660,998,197,2224
HENRYMT. BETHEL,176,0,61,0,0,0,0,3,42,0,287,0,0,0,0,2,18,0,2,0,128,0,427,485,48,1595,909,237,2128
HENRYMT. CARMEL,585,0,127,1,0,0,0,3,39,1,134,0,0,0,0,3,11,0,2,0,96,0,173,1929,49,717,462,713,2695
HENRYNORTH HAMPTON,557,2,181,1,0,0,0,4,61,1,257,0,0,2,0,2,29,0,0,0,187,0,451,2058,118,1771,994,741,3947
HENRYOAKLAND,375,1,116,3,0,0,0,6,57,1,279,0,0,1,0,2,31,0,0,0,180,0,329,1204,67,1424,886,495,2695
HENRYPATES CREEK,506,3,181,2,0,0,0,5,69,1,277,0,0,2,0,0,39,0,1,0,219,0,408,1700,102,1530,1021,692,3332
HENRYPLEASANT GROVE,374,1,112,0,0,0,0,7,58,0,332,0,0,2,0,3,30,0,2,0,218,0,409,1045,54,1582,1061,487,2681
HENRYRED OAK,967,1,247,2,0,0,0,0,20,1,66,0,0,0,0,0,8,0,0,0,99,0,115,2822,58,496,309,1217,3376
